id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
66,Antony Beevor,Person,https://vi.wikipedia.org/wiki/Antony_Beevor,Winchester College; Royal Military Academy Sandhurst,"Antony James Beevor; 14 tháng 12, 1946; (78 tuổi)",,"1 con trai, một con gái",,,Anh,"Nhà văn, sử gia",
67,Antonis Samaras,Person,https://vi.wikipedia.org/wiki/Antonis_Samaras,Amherst College; Đại học Harvard,"23 tháng 5, 1951; (74 tuổi); Athens; ,; Hy Lạp",,Lena; Costas,,,,,
68,Angela Merkel,Person,https://vi.wikipedia.org/wiki/Angela_Merkel,Đại học Leipzig,"17 tháng 7; năm; 1954; (71 tuổi); Hamburg; ,; Tây Đức",,,,,,,
69,Antti Tulenheimo,Person,https://vi.wikipedia.org/wiki/Antti_Tulenheimo,Đại học Helsinki,"4 tháng 12; năm; 1879; Kangasala; ,; Đại Công quốc Phần Lan",,,"3 tháng 9; năm; 1952; (72 tuổi); Helsinki; ,; Phần Lan",,,,
71,Antonin Scalia,Person,https://vi.wikipedia.org/wiki/Antonin_Scalia,Đại học Georgetown; Đại học Harvard,"Antonin Gregory Scalia; (; 1936-03-11; ); 11 tháng 3, 1936; Trenton, New Jersey; , Hoa Kỳ",,"9, including Eugene","February 12/13, 2016 (79 tuổi); Shafter, Texas; , Hoa Kỳ",,,,
72,António Costa,Person,https://vi.wikipedia.org/wiki/Ant%C3%B3nio_Costa,Đại học Lisboa,"António Luís Santos da Costa; 17 tháng 7, 1961; (64 tuổi); Lisbon; ,; Bồ Đào Nha",,2,,,,,
73,Aníbal Cavaco Silva,Person,https://vi.wikipedia.org/wiki/An%C3%ADbal_Cavaco_Silva,Đại học Kỹ thuật Lisbon; Đại học York,"15 tháng 7; năm; 1939; (77 tuổi); Boliqueime; ,; Bồ Đào Nha",,Patrícia Maria; Bruno,,,,,
74,António Guterres,Person,https://vi.wikipedia.org/wiki/Ant%C3%B3nio_Guterres,Đại học Lisboa,"30 tháng 4, 1949; (76 tuổi); Lisbon; ,; Bồ Đào Nha",,Pedro; Mariana,,,,,
75,Armand Fallières,Person,https://vi.wikipedia.org/wiki/Armand_Falli%C3%A8res,Đại học Paris,"6 tháng 11; năm; 1841; Mézin; ,; Pháp",,,"22 tháng 6; năm; 1931; (89 tuổi); Lannes; ,; Pháp",,,,
76,Anwar Al-Sadad,Person,https://vi.wikipedia.org/wiki/Anwar_Al-Sadad,Đại học Alexandria,"25 tháng 12; năm; 1918; El Monufia; ,; Vương quốc Hồi giáo Ai Cập",,Lubna Anwar Sadat; Noha Anwar Sadat; Gamal Anwar El Sadat; Jehan Anwar Sadat,"6 tháng 10; năm; 1981; (62 tuổi); Cairo; ,; Ai Cập",,,,
77,Arnaldo Forlani,Person,https://vi.wikipedia.org/wiki/Arnaldo_Forlani,Đại học Urbino,"8 tháng 12; năm; 1925; Pesaro; ,; Marche; ,; Vương quốc Ý",,2,"6 tháng 7 năm 2023; (2023-07-06); (97 tuổi); Rome; , Ý",,,Nhà báo Chính trị gia,
78,Asha-Rose Migiro,Person,https://vi.wikipedia.org/wiki/Asha-Rose_Migiro,University of Dar es Salaam; University of Konstanz; (; Dr. iur.; ),"9 tháng 7, 1956; (69 tuổi); Songea; ,; Tanganyika",,,,,Tanzanian,,
79,Ashfaq Parvez Kayani,Person,https://vi.wikipedia.org/wiki/Ashfaq_Parvez_Kayani,Học viện Quân sự Pakistan; Trường Chỉ huy và Tham mưu; Trường Chỉ huy và Tổng tham mưu Lục quân Hoa Kỳ; Đại học Quốc phòng Quốc gia,"20 tháng 4, 1952; (73 tuổi); Gujar Khan Tehsil; ,; Punjab; ,; Pakistan",,,,,,,
80,Ashraf Ghani,Person,https://vi.wikipedia.org/wiki/Ashraf_Ghani,Đại học Hoa Kỳ ở Beirut; Đại học Columbia,"Ashraf Ghani Ahmadzai; 19 tháng 5, 1949; (76 tuổi); Logar; ,; Afghanistan",,2,,,Afghan,,
81,Ariel Sharon,Person,https://vi.wikipedia.org/wiki/Ariel_Sharon,Đại học Hebrew của Jerusalem; Đại học Tel Aviv,"Ariel Scheinermann; 26 tháng 2; năm; 1928; Kfar Malal; ,; Lãnh thổ Ủy trị Palestine",,3,"11 tháng 1; năm; 2014; (85 tuổi); Ramat Gan; ,; Israel",,,,
82,Atal Bihari Vajpayee,Person,https://vi.wikipedia.org/wiki/Atal_Bihari_Vajpayee,"Cao đẳng DAV, Kanpur (sau đó sáp nhập vào Đại học Agra ) [ 1 ]","25 tháng 12; năm; 1924; Gwalior; ,; Bang Gwalior; ,; Ấn Độ thuộc Anh",,,"16 tháng 8; năm; 2018; (93 tuổi); New Delhi; ,; Ấn Độ",,,,
