src_id,src_type,dst_id,dst_type,relation
913,Person,690,University,alumni_of
915,Person,664,University,alumni_of
918,Person,508,University,alumni_of
920,Person,516,University,alumni_of
921,Person,690,University,alumni_of
922,Person,90,University,alumni_of
925,Person,405,University,alumni_of
927,Person,26,University,alumni_of
927,Person,484,University,alumni_of
928,Person,596,University,alumni_of
929,Person,499,University,alumni_of
929,Person,562,University,alumni_of
931,Person,664,University,alumni_of
935,Person,509,University,alumni_of
936,Person,664,University,alumni_of
937,Person,683,University,alumni_of
944,Person,299,University,alumni_of
944,Person,514,University,alumni_of
952,Person,310,University,alumni_of
952,Person,516,University,alumni_of
952,Person,840,University,alumni_of
953,Person,595,University,alumni_of
959,Person,742,University,alumni_of
960,Person,614,University,alumni_of
961,Person,428,University,alumni_of
966,Person,678,University,alumni_of
968,Person,26,University,alumni_of
968,Person,484,University,alumni_of
976,Person,30,University,alumni_of
976,Person,518,University,alumni_of
979,Person,516,University,alumni_of
979,Person,842,University,alumni_of
986,Person,756,University,alumni_of
990,Person,173,University,alumni_of
991,Person,664,University,alumni_of
992,Person,56,University,alumni_of
995,Person,425,University,alumni_of
995,Person,751,University,alumni_of
997,Person,516,University,alumni_of
1002,Person,597,University,alumni_of
1007,Person,798,University,alumni_of
1007,Person,803,University,alumni_of
1008,Person,35,University,alumni_of
1008,Person,306,University,alumni_of
1008,Person,642,University,alumni_of
1008,Person,643,University,alumni_of
1011,Person,775,University,alumni_of
1013,Person,446,University,alumni_of
1013,Person,516,University,alumni_of
1016,Person,751,University,alumni_of
1019,Person,391,University,alumni_of
1022,Person,299,University,alumni_of
1022,Person,514,University,alumni_of
1024,Person,125,University,alumni_of
1024,Person,173,University,alumni_of
1024,Person,516,University,alumni_of
1024,Person,668,University,alumni_of
1026,Person,605,University,alumni_of
1026,Person,609,University,alumni_of
1027,Person,792,University,alumni_of
1030,Person,35,University,alumni_of
1030,Person,804,University,alumni_of
1031,Person,425,University,alumni_of
1038,Person,419,University,alumni_of
1043,Person,842,University,alumni_of
1046,Person,290,University,alumni_of
1046,Person,399,University,alumni_of
1046,Person,408,University,alumni_of
1046,Person,411,University,alumni_of
1047,Person,516,University,alumni_of
1048,Person,598,University,alumni_of
1049,Person,775,University,alumni_of
1051,Person,508,University,alumni_of
1053,Person,683,University,alumni_of
1054,Person,508,University,alumni_of
1055,Person,834,University,alumni_of
1057,Person,564,University,alumni_of
1061,Person,35,University,alumni_of
1069,Person,511,University,alumni_of
1069,Person,639,University,alumni_of
1075,Person,708,University,alumni_of
1076,Person,485,University,alumni_of
1077,Person,266,University,alumni_of
1077,Person,267,University,alumni_of
1078,Person,23,University,alumni_of
1078,Person,433,University,alumni_of
1078,Person,841,University,alumni_of
1079,Person,522,University,alumni_of
1079,Person,791,University,alumni_of
1080,Person,516,University,alumni_of
1081,Person,416,University,alumni_of
1083,Person,808,University,alumni_of
1083,Person,812,University,alumni_of
1090,Person,440,University,alumni_of
1090,Person,690,University,alumni_of
1091,Person,35,University,alumni_of
1093,Person,516,University,alumni_of
1094,Person,416,University,alumni_of
1096,Person,434,University,alumni_of
1096,Person,682,University,alumni_of
1096,Person,801,University,alumni_of
1098,Person,784,University,alumni_of
1099,Person,516,University,alumni_of
1100,Person,358,University,alumni_of
1100,Person,362,University,alumni_of
1100,Person,696,University,alumni_of
1101,Person,696,University,alumni_of
1102,Person,244,University,alumni_of
1107,Person,35,University,alumni_of
1107,Person,362,University,alumni_of
1107,Person,522,University,alumni_of
1108,Person,781,University,alumni_of
1110,Person,268,University,alumni_of
1111,Person,841,University,alumni_of
1112,Person,764,University,alumni_of
1113,Person,416,University,alumni_of
1121,Person,800,University,alumni_of
1122,Person,508,University,alumni_of
1126,Person,775,University,alumni_of
1132,Person,266,University,alumni_of
1132,Person,267,University,alumni_of
1133,Person,568,University,alumni_of
1140,Person,516,University,alumni_of
1140,Person,764,University,alumni_of
1141,Person,558,University,alumni_of
1143,Person,288,University,alumni_of
1143,Person,365,University,alumni_of
1143,Person,370,University,alumni_of
1143,Person,664,University,alumni_of
1144,Person,511,University,alumni_of
1144,Person,639,University,alumni_of
1145,Person,210,University,alumni_of
1145,Person,335,University,alumni_of
1146,Person,682,University,alumni_of
1151,Person,90,University,alumni_of
1151,Person,271,University,alumni_of
1155,Person,465,University,alumni_of
1157,Person,416,University,alumni_of
1158,Person,764,University,alumni_of
1159,Person,347,University,alumni_of
1161,Person,742,University,alumni_of
1163,Person,775,University,alumni_of
1164,Person,454,University,alumni_of
1165,Person,266,University,alumni_of
1165,Person,267,University,alumni_of
1165,Person,416,University,alumni_of
1166,Person,266,University,alumni_of
1166,Person,267,University,alumni_of
1166,Person,670,University,alumni_of
1167,Person,764,University,alumni_of
1168,Person,670,University,alumni_of
1173,Person,299,University,alumni_of
1173,Person,505,University,alumni_of
1173,Person,514,University,alumni_of
1174,Person,266,University,alumni_of
1174,Person,267,University,alumni_of
1184,Person,741,University,alumni_of
1186,Person,429,University,alumni_of
1189,Person,842,University,alumni_of
1190,Person,690,University,alumni_of
1192,Person,837,University,alumni_of
1193,Person,446,University,alumni_of
1194,Person,479,University,alumni_of
1194,Person,500,University,alumni_of
1195,Person,516,University,alumni_of
1196,Person,834,University,alumni_of
1198,Person,613,University,alumni_of
1198,Person,705,University,alumni_of
1200,Person,795,University,alumni_of
1200,Person,802,University,alumni_of
1201,Person,537,University,alumni_of
1201,Person,683,University,alumni_of
1204,Person,446,University,alumni_of
1207,Person,613,University,alumni_of
1207,Person,705,University,alumni_of
1208,Person,481,University,alumni_of
1210,Person,516,University,alumni_of
1210,Person,635,University,alumni_of
1211,Person,470,University,alumni_of
1212,Person,337,University,alumni_of
1213,Person,516,University,alumni_of
1214,Person,775,University,alumni_of
1215,Person,516,University,alumni_of
1215,Person,764,University,alumni_of
1217,Person,664,University,alumni_of
1220,Person,419,University,alumni_of
1221,Person,829,University,alumni_of
1225,Person,411,University,alumni_of
1226,Person,266,University,alumni_of
1226,Person,267,University,alumni_of
1226,Person,543,University,alumni_of
1227,Person,744,University,alumni_of
1229,Person,55,University,alumni_of
1231,Person,670,University,alumni_of
2,Person,467,Person,same_university
467,Person,2,Person,same_university
2,Person,808,Person,same_university
808,Person,2,Person,same_university
2,Person,846,Person,same_university
846,Person,2,Person,same_university
4,Person,1050,Person,same_university
1050,Person,4,Person,same_university
10,Person,664,Person,same_university
664,Person,10,Person,same_university
10,Person,797,Person,same_university
797,Person,10,Person,same_university
10,Person,848,Person,same_university
848,Person,10,Person,same_university
10,Person,1211,Person,same_university
1211,Person,10,Person,same_university
11,Person,127,Person,same_university
127,Person,11,Person,same_university
11,Person,783,Person,same_university
783,Person,11,Person,same_university
11,Person,786,Person,same_university
786,Person,11,Person,same_university
11,Person,801,Person,same_university
801,Person,11,Person,same_university
13,Person,103,Person,same_university
103,Person,13,Person,same_university
13,Person,148,Person,same_university
148,Person,13,Person,same_university
13,Person,418,Person,same_university
418,Person,13,Person,same_university
13,Person,462,Person,same_university
462,Person,13,Person,same_university
13,Person,463,Person,same_university
463,Person,13,Person,same_university
13,Person,933,Person,same_university
933,Person,13,Person,same_university
13,Person,963,Person,same_university
963,Person,13,Person,same_university
13,Person,1078,Person,same_university
1078,Person,13,Person,same_university
13,Person,1107,Person,same_university
1107,Person,13,Person,same_university
14,Person,197,Person,same_university
197,Person,14,Person,same_university
14,Person,869,Person,same_university
869,Person,14,Person,same_university
14,Person,963,Person,same_university
963,Person,14,Person,same_university
19,Person,781,Person,same_university
781,Person,19,Person,same_university
19,Person,783,Person,same_university
783,Person,19,Person,same_university
22,Person,127,Person,same_university
127,Person,22,Person,same_university
22,Person,726,Person,same_university
726,Person,22,Person,same_university
23,Person,122,Person,same_university
122,Person,23,Person,same_university
23,Person,238,Person,same_university
238,Person,23,Person,same_university
23,Person,298,Person,same_university
298,Person,23,Person,same_university
23,Person,913,Person,same_university
913,Person,23,Person,same_university
23,Person,1090,Person,same_university
1090,Person,23,Person,same_university
26,Person,126,Person,same_university
126,Person,26,Person,same_university
26,Person,487,Person,same_university
487,Person,26,Person,same_university
26,Person,496,Person,same_university
496,Person,26,Person,same_university
27,Person,219,Person,same_university
219,Person,27,Person,same_university
29,Person,38,Person,same_university
38,Person,29,Person,same_university
29,Person,130,Person,same_university
130,Person,29,Person,same_university
29,Person,164,Person,same_university
164,Person,29,Person,same_university
29,Person,1007,Person,same_university
1007,Person,29,Person,same_university
30,Person,178,Person,same_university
178,Person,30,Person,same_university
34,Person,584,Person,same_university
584,Person,34,Person,same_university
35,Person,463,Person,same_university
463,Person,35,Person,same_university
35,Person,595,Person,same_university
595,Person,35,Person,same_university
35,Person,902,Person,same_university
902,Person,35,Person,same_university
35,Person,987,Person,same_university
987,Person,35,Person,same_university
36,Person,356,Person,same_university
356,Person,36,Person,same_university
36,Person,517,Person,same_university
517,Person,36,Person,same_university
36,Person,632,Person,same_university
632,Person,36,Person,same_university
37,Person,75,Person,same_university
75,Person,37,Person,same_university
37,Person,167,Person,same_university
167,Person,37,Person,same_university
37,Person,237,Person,same_university
237,Person,37,Person,same_university
37,Person,299,Person,same_university
299,Person,37,Person,same_university
37,Person,305,Person,same_university
305,Person,37,Person,same_university
37,Person,368,Person,same_university
368,Person,37,Person,same_university
37,Person,501,Person,same_university
501,Person,37,Person,same_university
37,Person,567,Person,same_university
567,Person,37,Person,same_university
37,Person,762,Person,same_university
762,Person,37,Person,same_university
37,Person,871,Person,same_university
871,Person,37,Person,same_university
37,Person,874,Person,same_university
874,Person,37,Person,same_university
37,Person,915,Person,same_university
915,Person,37,Person,same_university
37,Person,931,Person,same_university
931,Person,37,Person,same_university
37,Person,991,Person,same_university
991,Person,37,Person,same_university
37,Person,1217,Person,same_university
1217,Person,37,Person,same_university
42,Person,296,Person,same_university
296,Person,42,Person,same_university
43,Person,200,Person,same_university
200,Person,43,Person,same_university
48,Person,775,Person,same_university
775,Person,48,Person,same_university
49,Person,598,Person,same_university
598,Person,49,Person,same_university
50,Person,563,Person,same_university
563,Person,50,Person,same_university
53,Person,123,Person,same_university
123,Person,53,Person,same_university
53,Person,250,Person,same_university
250,Person,53,Person,same_university
53,Person,391,Person,same_university
391,Person,53,Person,same_university
53,Person,458,Person,same_university
458,Person,53,Person,same_university
53,Person,700,Person,same_university
700,Person,53,Person,same_university
53,Person,738,Person,same_university
738,Person,53,Person,same_university
53,Person,777,Person,same_university
777,Person,53,Person,same_university
53,Person,937,Person,same_university
937,Person,53,Person,same_university
53,Person,1053,Person,same_university
1053,Person,53,Person,same_university
55,Person,95,Person,same_university
95,Person,55,Person,same_university
59,Person,69,Person,same_university
69,Person,59,Person,same_university
59,Person,233,Person,same_university
233,Person,59,Person,same_university
59,Person,382,Person,same_university
382,Person,59,Person,same_university
59,Person,527,Person,same_university
527,Person,59,Person,same_university
59,Person,608,Person,same_university
608,Person,59,Person,same_university
59,Person,725,Person,same_university
725,Person,59,Person,same_university
59,Person,744,Person,same_university
744,Person,59,Person,same_university
59,Person,865,Person,same_university
865,Person,59,Person,same_university
59,Person,918,Person,same_university
918,Person,59,Person,same_university
59,Person,1051,Person,same_university
1051,Person,59,Person,same_university
59,Person,1054,Person,same_university
1054,Person,59,Person,same_university
59,Person,1122,Person,same_university
1122,Person,59,Person,same_university
60,Person,365,Person,same_university
365,Person,60,Person,same_university
60,Person,806,Person,same_university
806,Person,60,Person,same_university
60,Person,952,Person,same_university
952,Person,60,Person,same_university
61,Person,653,Person,same_university
653,Person,61,Person,same_university
61,Person,785,Person,same_university
