src_person_id,dst_university_id,src_person,dst_university
813,416,Moon Jae-in,Đại học Bắc Kinh
815,80,Nakatani Gen,Học viện Phòng vệ Nhật Bản
820,440,Neil Gorsuch,Đại học Columbia
825,263,Nguyễn Hữu Có,Trường Trung học phổ thông chuyên Quốc Học – Huế
826,764,Nghê Nhạc Phong,Đại học Thanh Hoa
828,449,Nghê Hồng,Đại học Công nghiệp Cáp Nhĩ Tân
828,764,Nghê Hồng,Đại học Thanh Hoa
829,764,Ngô Bang Quốc,Đại học Thanh Hoa
830,777,Nguyễn Phú Trọng,Đại học Tổng hợp Hà Nội
830,90,Nguyễn Phú Trọng,Học viện Chính trị Quốc gia Hồ Chí Minh
830,316,Nguyễn Phú Trọng,Viện Hàn lâm Khoa học xã hội thuộc Trung ương Đảng Cộng sản Liên Xô
832,522,Nelson Rockefeller,Đại học Dartmouth
832,440,Nelson Rockefeller,Đại học Columbia
832,683,Nelson Rockefeller,Đại học Princeton
833,259,Nguyễn Minh Triết,Trường Đại học Khoa học Sài Gòn
833,90,Nguyễn Minh Triết,Học viện Chính trị Quốc gia Hồ Chí Minh
834,764,Ngô Chính Long,Đại học Thanh Hoa
834,267,Ngô Chính Long,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
835,142,Ngô Đình Nhu,PSL Research University
836,696,Ngô Tác Đống,Đại học Quốc gia Singapore
837,579,Nelson Mandela,Đại học London
837,818,Nelson Mandela,Đại học Witwatersrand
838,740,Niwatthamrong Boonsongpaisan,Đại học Srinakharinwirot
838,425,Niwatthamrong Boonsongpaisan,Đại học Chulalongkorn
839,667,Nicolas Sarkozy,Đại học Paris Nanterre
839,148,Nicolas Sarkozy,Sciences Po
841,834,Noda Yoshihiko,Đại học Waseda
842,234,Ngô Đình Diệm,Trường Trung học phổ thông chuyên Quốc Học
842,191,Ngô Đình Diệm,Trường Hậu bổ (Hà Nội)
842,632,Ngô Đình Diệm,Đại học Michigan
843,613,Nikolai Ivanovich Bukharin,Đại học Moskva
844,254,Nguyễn Xuân Phúc,Trường Đại học Kinh tế Quốc dân
844,48,Nguyễn Xuân Phúc,Học viện Hành chính Quốc gia
844,696,Nguyễn Xuân Phúc,Đại học Quốc gia Singapore
844,90,Nguyễn Xuân Phúc,Học viện Chính trị Quốc gia Hồ Chí Minh
844,834,Nguyễn Xuân Phúc,Đại học Waseda
848,540,Numan Kurtulmuş,Đại học Istanbul
849,834,Nukaga Fukushirō,Đại học Waseda
850,834,Obuchi Keizō,Đại học Waseda
851,255,Nguyễn Tấn Dũng,Trường Đại học Luật Thành phố Hồ Chí Minh
851,90,Nguyễn Tấn Dũng,Học viện Chính trị Quốc gia Hồ Chí Minh
851,254,Nguyễn Tấn Dũng,Trường Đại học Kinh tế Quốc dân
852,500,Ole von Beust,Đại học Hamburg
853,288,Odysseas Elytis,University of Athens
853,365,Odysseas Elytis,Đại học Athena
856,278,Nguyễn Văn Thiệu,Trường Võ bị Quốc gia Đà Lạt
856,53,Nguyễn Văn Thiệu,Eton College
856,479,Nguyễn Văn Thiệu,Đại học Freiburg
856,603,Nguyễn Văn Thiệu,Đại học McMaster
856,411,Nguyễn Văn Thiệu,Đại học California
856,500,Nguyễn Văn Thiệu,Đại học Hamburg
859,472,Orbán Viktor,Đại học Eötvös Loránd
860,562,Osvaldo Dorticós Torrado,Đại học La Habana
861,655,P. V. Narasimha Rao,Đại học Osmania
862,500,Olaf Scholz,Đại học Hamburg
864,736,Olof Palme,Đại học Stockholm
865,522,Paavo Lipponen,Đại học Dartmouth
865,508,Paavo Lipponen,Đại học Helsinki
866,514,Otto von Bismarck,Đại học Göttingen
869,734,Pakalitha Mosisili,Đại học Simon Fraser
870,721,Paolo Gentiloni,Đại học Roma Sapienza
871,664,Paul Deschanel,Đại học Paris
872,733,Park Geun-hye,Đại học Sogang
872,664,Park Geun-hye,Đại học Paris
873,425,Paetongtarn Shinawatra,Đại học Chulalongkorn
873,35,Paetongtarn Shinawatra,Cử nhân Nghệ thuật
874,664,Paul Doumer,Đại học Paris
875,604,Paul Ryan,Đại học Miami
877,343,Patrice de Mac Mahon,École spéciale militaire de Saint-Cyr
879,783,Paul Martin,Đại học Toronto
880,240,Park Chung-hee,Trường Sĩ quan Lục quân (Đế quốc Nhật Bản)
