id,name,label,wiki_url
266,Fakhruddin Ali Ahmed,Person,https://vi.wikipedia.org/wiki/Fakhruddin_Ali_Ahmed
267,Emmanuel Macron,Person,https://vi.wikipedia.org/wiki/Emmanuel_Macron
268,Elon Musk,Person,https://vi.wikipedia.org/wiki/Elon_Musk
269,Faure Gnassingbé,Person,https://vi.wikipedia.org/wiki/Faure_Gnassingb%C3%A9
270,Federica Mogherini,Person,https://vi.wikipedia.org/wiki/Federica_Mogherini
271,Ferdinand Marcos,Person,https://vi.wikipedia.org/wiki/Ferdinand_Marcos
272,Francesco Cossiga,Person,https://vi.wikipedia.org/wiki/Francesco_Cossiga
273,Finn E. Kydland,Person,https://vi.wikipedia.org/wiki/Finn_E._Kydland
274,Francesco Crispi,Person,https://vi.wikipedia.org/wiki/Francesco_Crispi
275,Felipe Calderón,Person,https://vi.wikipedia.org/wiki/Felipe_Calder%C3%B3n
276,Francisco I. Madero,Person,https://vi.wikipedia.org/wiki/Francisco_I._Madero
277,Fidel Ramos,Person,https://vi.wikipedia.org/wiki/Fidel_Ramos
278,F. Scott Fitzgerald,Person,https://vi.wikipedia.org/wiki/F._Scott_Fitzgerald
279,Franjo Tuđman,Person,https://vi.wikipedia.org/wiki/Franjo_Tu%C4%91man
280,Francisco Franco,Person,https://vi.wikipedia.org/wiki/Francisco_Franco
281,Franco Modigliani,Person,https://vi.wikipedia.org/wiki/Franco_Modigliani
282,Frank Forde,Person,https://vi.wikipedia.org/wiki/Frank_Forde
283,Franz Oppenheimer,Person,https://vi.wikipedia.org/wiki/Franz_Oppenheimer
284,Frank-Walter Steinmeier,Person,https://vi.wikipedia.org/wiki/Frank-Walter_Steinmeier
285,Franz Schubert,Person,https://vi.wikipedia.org/wiki/Franz_Schubert
286,Franklin Pierce,Person,https://vi.wikipedia.org/wiki/Franklin_Pierce
287,François Arago,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Arago
288,Fidel Castro,Person,https://vi.wikipedia.org/wiki/Fidel_Castro
289,Frederick Muhlenberg,Person,https://vi.wikipedia.org/wiki/Frederick_Muhlenberg
290,François Rabelais,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais
291,François Hollande,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Hollande
292,Franklin D. Roosevelt,Person,https://vi.wikipedia.org/wiki/Franklin_D._Roosevelt
293,Fredrik Reinfeldt,Person,https://vi.wikipedia.org/wiki/Fredrik_Reinfeldt
294,François Fillon,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Fillon
295,Friedrich Hayek,Person,https://vi.wikipedia.org/wiki/Friedrich_Hayek
296,Frederik X của Đan Mạch,Person,https://vi.wikipedia.org/wiki/Frederik_X_c%E1%BB%A7a_%C4%90an_M%E1%BA%A1ch
297,Franz Kafka,Person,https://vi.wikipedia.org/wiki/Franz_Kafka
298,Donald Trump,Person,https://vi.wikipedia.org/wiki/Donald_Trump
299,François Mitterrand,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand
300,Furukawa Shuntaro,Person,https://vi.wikipedia.org/wiki/Furukawa_Shuntaro
301,Friedrich Merz,Person,https://vi.wikipedia.org/wiki/Friedrich_Merz
302,Garret Hobart,Person,https://vi.wikipedia.org/wiki/Garret_Hobart
303,Fukuda Yasuo,Person,https://vi.wikipedia.org/wiki/Fukuda_Yasuo
304,Gary Johnson,Person,https://vi.wikipedia.org/wiki/Gary_Johnson
305,Gaston Doumergue,Person,https://vi.wikipedia.org/wiki/Gaston_Doumergue
306,Fukuda Takeo,Person,https://vi.wikipedia.org/wiki/Fukuda_Takeo
307,Gabriel García Márquez,Person,https://vi.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez
308,George Canning,Person,https://vi.wikipedia.org/wiki/George_Canning
309,Geert Wilders,Person,https://vi.wikipedia.org/wiki/Geert_Wilders
310,George Akerlof,Person,https://vi.wikipedia.org/wiki/George_Akerlof
