id,name,label,wiki_url,1981–1984,1984–1985,1985–1986,1986–1987,1987,1987–1988,1987–2003,1988–1992,1992–1995,1995–2000,2000,2000–2001,2001–2003,2013–2015,2013–2018,2013–2019,2015–2019,2018–2019,2019,2019 đến nay,2019–2020,2020 đến nay,2020–2021,2022 đến nay,Alma mater,An nghỉ,An táng,Anh chị em,Bang vụ khanh,Biệt danh,Bí thư,Bí thư Thành ủy,Bí thư Tỉnh ủy,Bí thư thứ nhấtBan Bí thư,Bí thư Đảng ủy Bộ,Bính âm Hán ngữ,Bút danh,Bạn đời,Bảo trợ,Bổ nhiệm,Bổ nhiệm bởi,Bộ trưởng,Bộ trưởng Quốc phòng,Cha,Cha mẹ,Chief Minister,Chief Ministers,Chief Whip,Chiều cao,Chosŏn'gŭl,Chuyên môn,Chuyển tự,Chánh án,Chân phước,Chỉ huy,Chịu ảnh hưởng của,Chồng,Chủ nhiệm,Chủ tịch,Chủ tịch Chính phủ Quốc dân,Chủ tịch Hạ viện,Chủ tịch Hội đồng,Chủ tịch Hội đồng Nhân dân,Chủ tịch Mặt trận,Chủ tịch Quân ủy,Chủ tịch Quốc hội,Chủ tịch Thượng viện,Chủ tịch nước,Chủ tịch Đảng,Chủ tịch Ủy ban,Chủ tịch(Thủ tướng),Chủ đề,Chức bộ trưởng,Chức bộ trưởng1908–1929,Chức bộ trưởng1939–1952,Chức nghị sĩ,Chức quan,Chức vị,Chức vụ cao cấp,Chức vụ khác,Chức vụ quan trọng khác,Chữ ký,Con cái,Các chức khác,Các chức vụ chính phủ,Các chức vụ khác,Các nghiên cứu sinh nổi tiếng,Các nút Play,Các sinh viên nổi tiếng,"Cán bộ điều hành,PEC",Có tác phẩm trong,Công dân,Công nhận,Công trình tiêu biểu,Công việc trước đó,Cùng với,Cư trú,Cấp bậc,Cấp phó,Cố vấn Nhà nước,Cố vấn nhà nước,Danh hiệu,Deputy,Dân tộc,Dạng thời khóa biểu,First Deputy,Führer,Führer/Tổng thống,General Secretary,Gia quyến,Gia tộc,Gia đình,Giai đoạn sáng tác,Giáo dục,Giáo hội,Giáo phận,Giáo tỉnh,Giải thưởng,Giải thưởng nổi bật,Giảng viên,Giản thể,Giới tính,Hancha,Hangul,Hanja,Head,Head of Government,Hiragana,Hiệu trưởng,Hoàng tộc,Hoàng đế,Hán-Việt,Hãng đĩa,Hôn nhân,Hạng,Hậu duệ,Hết nhiệm,Hệ phái,Họ hàng,Học kỳ,Học sinh,Học vấn,Học vị,Hợp tác với,IPA,Julie Payette,Junior ministerial offices,Kanji,Katakana,Khu bầu cử,Khu vực,Khu vực bầu cử,Khuôn viên,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kế nhiệm,Latinh hóa,Latinh hóa Yale,Linh vật,Liên kết học tập,Liên kết thể thao,Location,Loại,Loại giọng,Loại hình,Luận án,Lãnh tụ Tối cao,Lãnh tụ tối cao,Lãnh đạo,Lĩnh vực,Lương bổng,Lượt đăng ký,Lễ kính,McCune–Reischauer,Ministry,Muhammad Yunus,Màu,Mãn nhiệm,Mất,Mẹ,National Chair,Net worth,Nghiên cứu sinh,Nghề nghiệp,Nghỉ hưu,Nghị phó,Nguyên nhân,Nguyên nhân mất,Nguyên quán,Ngành,Ngành phụ,Ngày an táng,Ngày mất,Ngày sinh,Ngôn ngữ,Người bảo trợ,Người hướng dẫn luận án tiến sĩ,Người phối ngẫu,Người thân,Người tình,Nhiếp chính,Nhiệm kỳ,Nhà tuyển dụng,Nhân viên,Nhân viên quản lý,Nhạc cụ,Năm,Năm hoạt động,Năm tại ngũ,Năm tại ngũ,Nơi an nghỉ,Nơi an táng,Nơi công tác,Nơi cư ngụ,Nơi cư trú,Nơi mất,Nơi sinh,Nơi ở,Nổi tiếng vì,Nổi tiếng vì,Nội các,Nữ hoàng,Nữ hoàng/Vua,Nữ vương,POJtiếng Mân Tuyền Chương,Phiên âm,Phong thánh,Phát ngôn nhân,Phê phán,Phó Bí thư,Phó Chủ nhiệm,Phó Chủ tịch,Phó Chủ tịch nước,Phó Giám đốc,Phó Hiệu trưởng thứ nhất,Phó Thị trường,Phó Thị trưởng,Phó Thống đốc,Phó Thủ tướng,Phó Thủ tướng thứ nhất,Phó Thủ tướng Đức,Phó Trưởng ban,Phó Tư lệnh kiêm Tham mưu trưởng,Phó Tổng Bí thư,Phó Tổng Giám đốc,Phó Tổng Tham mưu trưởng,Phó Tổng lý,Phó Tổng thống,Phó Tổng thống thứ hai,Phó Tổng thống thứ nhất Zimbabwe,Phó chủ nhiệm,Phó chức,Phó hiệu trưởng,Phó thị trưởng,Phó thống đốc,Phó thủ tướng,Phó tổng thống,Phó Ủy viên trưởng,Phù hiệu,Phù hiệu sứ mệnh,Phối ngẫu,Phồn thể,Phụ tá Tổng trưởngĐổng lý Văn phòng,Phục vụ,Positions,Quan hệ,Quan thầy của,Quan tâm chính,Quyền Tổng Tham mưu trưởng,Quân chủ,Quân chủng,Quê quán,Quốc trưởng,Quốc tịch,Quốc vương,Romaja quốc ngữ,Rōmaji,Rửa tội,Secretary-General,Sinh,Sinh viên,Sinh viên nổi bật,Sinh viên sau đại học,Sinh viên đại học,Sáng lập,Số Sinh viên,Số phiếu,Số quân chủng,Sứ mệnh,Taoiseach,Tham chiến,Thiên hoàng,Thuộc,Thành lập,Thành viên của,Thành viên của hội đồng,Thánh hiệu,Thân mẫu,Thân phụ,Thăng Hồng y,Thư ký đảng,Thường trực Ban Bí thư,Thầy giáo,Thể loại,Thị trưởng,Thống đốc,Thời gian trong không gian,Thời kỳ,Thụ phong,Thụ phong Linh mục,Thủ hiến,Thủ tướng,Thứ trưởng,Thứ trưởng (6),Tiếng Trung,Tiền lương,Tiền nhiệm,Toàn quyền,Trang web,Trang web chính thức,Trào lưu,Trường học,Trường lớp,Trường phái,Trường theo học,Trưởng ban,Trữ quân,Tuyên khấn,Tuyển chọn,Tài sản,Tài trợ,Tác phẩm,Tác phẩm nổi bật,Tác phẩm đáng chú ý,Tác phẩm nổi bật,Tánaiste,Tâi-lô,Tên bản ngữ,Tên chính thức,Tên khai sinh,Tên khác,Tên đầy đủ,Tình trạng kết hôn,Tòa,Tôn giáo,Tư cách công dân,Tư lệnh Hành quân,Tư tưởng nổi bật,Tại vị,Tấn phong,Tấn phong Giám mục,Tặng thưởng,Tặng thưởng dân sự,Tặng thưởng quân sự,Tỉ lệ,Tổ chức,Tổng Bí thư,Tổng Giám đốc,Tổng Tham mưu trưởng,Tổng Thanh tra,Tổng Thư ký,Tổng Tư lệnh,Tổng cộng,Tổng giám đốc,Tổng lý,Tổng lý Quốc vụ viên,Tổng lý Quốc vụ viện,Tổng lượt xem,Tổng thư ký,Tổng thống,Tổng tư lệnh quân đội,Tổng-Thư ký,Tờ báo,Tựu nhiệm,Vai diễn,Vice President,Vinh thăng Hồng y,Viện trưởng,Viện trưởng Hành chính viện,Việt bính,Vua,Vua/Nữ hoàng,Vùng,Văn phòng Bộ,Văn phòng Quốc hội,Vương tộc,Vị trí,Vợ,Vợ/chồng,Wade–Giles,Website,Whip,nhậm chức cùng,Ý tưởng tiêu biểu,Đào tạo,Đóng góp,Đăng quang,Đơn vị,Đương nhiệm,Đại biểu Quốc hội,Đại diện,Đại sứ,Đảng chính trị,Đảng khác,Đảng phái chính trị,Đặc khu trưởng,Đề cử,Đề cử bởi,Đền chính,Đệ nhất Tổng tài,Đối tượng chính,Đồng Thủ tướng,Đồng chủ tịch,Đồng tại nhiệm,Đồng tại vị,Đứng đầu,Ảnh hưởng bởi,Ảnh hưởng tới,Ủy viên trưởng,Ủy viên trưởng Nhân Đại
949,Robert A. Heinlein,Person,https://vi.wikipedia.org/wiki/Robert_A._Heinlein,,,,,,,,,,,,,,,,,,,,,,,,,USNA UCLA (incomplete),,,,,,,,,,,,Anson MacDonald; Lyle Monroe; John Riverside; Caleb Saunders; Simon York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939–1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8 tháng 5, 1988; (1988-05-08); (80 tuổi); Carmel, California; , Hoa Kỳ",,,,,"Tiểu thuyết gia, nhà văn truyện ngắn [ 1 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elinor Curry; (cưới 1929⁠–⁠; ld.; 1930); Leslyn MacDonald; (cưới 1932⁠–⁠; ld.; 1947); Virginia ""Ginny"" Gerstenfeld; (cưới 1948–1988)",,,,,,,,,,,,,Mỹ,,,,,,"Robert Anson Heinlein; (; 1907-07-07; ); 7 tháng 7, 1907; Butler, Missouri; , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,"Khoa học giả tưởng , fantasy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stranger in a Strange Land The Moon Is a Harsh Mistress Starship Troopers Time Enough for Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,Robert Bridges,Person,https://vi.wikipedia.org/wiki/Robert_Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,"George Bridges, Thomas Walker Bridges, Edward Bridges, Hariett Louisa Bridges, John Bridges, [Frances] Caroline Bridges",,,,,,,,,,,,,,,,John Thomas Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elizabeth Daryush, Margaret Bridges, Edward Bridges, 1st Baron Bridges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huân chương Công lao,,,,nam,,,,,,,,,,,,Monica Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harriett Elizabeth Affleck,,,,"nhà thơ , nhà văn",,,,,,,,,"21 tháng 4, 1930","23 tháng 10, 1844",,,,,,,,,,,,,,,,,,,,,,Oxford,Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vương quốc Liên hiệp Anh và Bắc Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anh giáo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cao đẳng Corpus Christi, Eton College , Barts and The London School of Medicine and Dentistry",,,,,,,,,,,,,,,,,,,,,,,,,
951,Rick Perry,Person,https://vi.wikipedia.org/wiki/Rick_Perry,,,,,,,,,,,,,,,,,,,,,,,,,Texas A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Griffin; Sydney,,,,,,,,,,,,,,Texas Governor's Mansion,Đại úy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill Ratliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972–1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill Ratliff; David Dewhurst,,,,,,,,,,,,,,,,,,,,,,,Anita Thigpen,,,Không quân Hoa Kỳ,,,,,,,,,,,,,,,,"4 tháng 3, 1950; (75 tuổi); Paint Creek, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,George W. Bush,,,,,,,,,,,Bob Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Cộng hòa (1989-nay),Đảng Dân chủ (trước 1989),,,,,,,,,,,,,,,,
952,Robert F. Kennedy,Person,https://vi.wikipedia.org/wiki/Robert_F._Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Harvard; Đại học Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kathleen Hartington Kennedy; Joseph Patrick Kennedy III; Robert Francis Kennedy, Jr.; David Anthony Kennedy; Mary Courtney Kennedy; Michael LeMoyne Kennedy; Mary Kerry Kennedy; Christopher George Kennedy; Matthew Maxwell Taylor Kennedy; Douglas Harriman Kennedy; Rory Elizabeth Katherine Kennedy; (b. 1968)",,,,,,,,,,,,,,,,Byron White Nicholas Katzenbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicholas Katzenbach,,,,,,,,,,,,,,,,,,,,,,,"6 tháng 6, 1968; (1968-06-06); (42 tuổi); Los Angeles; ,; California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethel Skakel,,,,,John F. Kennedy; (anh trai); Ted Kennedy; (em trai),,,,,,,,,,,,,,"(; 1925-11-20; ); 20 tháng 11, 1925; Brookline,; Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William P. Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John F. Kennedy Lyndon B. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Dân chủ (Hoa Kỳ),,,,,,,,,,,,,,,,,
953,Robert Abela,Person,https://vi.wikipedia.org/wiki/Robert_Abela,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Malta,,,,,,,,,,,,,,,,,,,,George Abela và Margaret Abela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lydia Abela,,,,,,,,,,,,,Malta,,,,,,"7 tháng 12, 1977; (47 tuổi); Sliema; , Malta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Muscat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Vella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lao động,,,,,,,,,,,,,,,,,
954,Robert F. Engle,Person,https://vi.wikipedia.org/wiki/Robert_F._Engle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ta-Chung Liu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giải Nodel Kinh tế (2003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinh tế lượng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học New York; ,; từ 2000; Đại học California, San Diego; ,; (1975-2003); Viện Công nghệ Massachusetts; ,; (1969-1975)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,"10 tháng 11, 1942; (82 tuổi); Syracuse, New York; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Cornell; ,; (Ph.D. 1969); Williams College; ,; (B.S. 1964)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH; Đồng liên kết,,,,,,,,,,,,,,,,,,,,,,Tim Bollerslev; Mark Watson,,
955,Robert McNamara,Person,https://vi.wikipedia.org/wiki/Robert_McNamara,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, Berkeley; (; B.A.; ); Harvard Business School; (; M.B.A.; )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lieutenant Colonel,,,,,Roswell Gilpatric; Cyrus Vance; Paul Nitze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alden W. Clausen,,,,,,,,,,,,,,,,,,,,,,,"6 tháng 7, 2009; (2009-07-06); (93 tuổi); Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943–1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margaret Craig; (1940–1981 (bà mất)); Diana Masieri Byfield; (2004–2009),,,United States Army Air Forces,,,,,,,,,,,,,,,,"9 tháng 6, 1916; San Francisco; ,; California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George David Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Legion of Merit,,,,,,,,,,,,,,,,,,John F. Kennedy; Lyndon B. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cộng hòa [ 1 ] [ 2 ],,,,,,,,,,,,,,,,,
956,"Robert Lucas, Jr.",Person,https://vi.wikipedia.org/wiki/Robert_Lucas%2C_Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arnold Harberger; H. Gregg Lewis; Milton Friedman; Robert Solow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giải Nobel Kinh tế (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinh tế vĩ mô,,,,,,,,,"15 tháng 5 năm 2023; (2023-05-15); (85 tuổi); Chicago, Illinois; , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Carnegie Mellon; Đại học Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,"(; 1937-09-15; ); 15 tháng 9 năm 1937; Yakima, Washington; , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinh tế học vĩ mô cổ điển mới,Đại học Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kỳ vọng hợp lý; Phê bình Lucas; Kinh tế học hành vi,,,,,,,,,,,,,,,,,,,,,,Thomas J. Sargent; Robert Barro; Neil Wallace; Lawrence Summers; Richard Thaler,,
957,Robert Fogel,Person,https://vi.wikipedia.org/wiki/Robert_Fogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lịch sử kinh tế; Cliometrics,,,,,,,,,"11 tháng 6, 2013; (2013-06-11); (86 tuổi); Oak Lawn, Illinois; , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,"(; 1926-07-01; ); 1 tháng 7, 1926; New York City; , New York, Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trường phái kinh tế Chicago,Trường trung học Stuyvesant; Đại học Cornell; Đại học Columbia; Đại học Johns Hopkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,Robert Mueller,Person,https://vi.wikipedia.org/wiki/Robert_Mueller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruce Gebhardt; John Pistole; Timothy Murphy; Sean Joyce,,,,,,,,,,,,,,,Đại học Princeton; (; Cử nhân; ); Đại học New York; (; Thạc sĩ; ); Đại học Virginia; (; Tiến sĩ; ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank L. McNamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thủy quân Lục chiến Hoa Kỳ,,,,,,,,,,,,,,,,"Robert Swan Mueller III; 7 tháng 8, 1944; (81 tuổi); New York City; ,; New York; ,; Hoa Kỳ",,,,,,,,,,,Chiến tranh Việt Nam,,Quân đội Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,William Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huy chương Sao Đồng; Purple Heart; Gallantry Cross,,,,,,,,,,,,,,,,,,Ronald Reagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd Marine Division,,,,,,,,,,,,,,,,,,,,,,
959,Rishi Sunak,Person,https://vi.wikipedia.org/wiki/Rishi_Sunak,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln College, Oxford ( BA ) Đại học Stanford ( MBA )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winchester College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Hall,,,,,,,,,,,,,Theresa May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dominic Raab; Oliver Dowden,,,,,,,,,,,,,,,,,,,,,,Akshata Murty; (cưới 2009),,,,,,,,,Charles III,,,,,,,,,,"12 tháng 5, 1980; (45 tuổi); Southampton; ,; Hampshire; ,; Anh",,,,,,,"27,210 (47.2%)",,,,,,,,,,,,,,,,,,,,,,,,,Boris Johnson,,,,,William Hague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rishisunak .com,,,,,,,,,,,,Bảo thủ,,,,,,,,,,,,,,,,,
960,Robert Menzies,Person,https://vi.wikipedia.org/wiki/Robert_Menzies,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Melbourne,,,,,,,,,,,,,,,,,,,,James Menzies; Kate Sampson,,,,,,Luật sư; Chính trị gia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cao đẳng Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilfrid Kent Hughes,,,,,,,,,,,,,,,,,,,,,,,"15 tháng 5; năm; 1978; Malvern, Victoria; ,; Úc",,,,,,,,,,,,,,,,,,,,Sydney Sampson; (cậu); Hugh Menzies; (chú); Douglas Menzies; (em họ); Peter Henderson; (con rể),,,,,,,,,,,,"Nghĩa trang Tổng hợp Melbourne , Victoria, Úc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pattie Leckie; (cưới 1920⁠–⁠; wid.; 1978),,,,,,,,,,,,,,,,,,,"Robert Gordon Menzies; 20 tháng 12; năm; 1894; Jeparit; ,; Thuộc địa Victoria; ,; Đế quốc Anh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sir Stanley Argyle,John Curtin; Frank Forde; Ben Chifley,,,,,Albert Dunstan,Lord Gowrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George VI,George VI; Elizabeth II,,,,,,,,,,,,,,,,,,,,,Đảng Tự do (1945–1966),Đảng Dân tộc; (Đến 1931); Đảng Nước Úc Thống nhất; (1931–1945),,,,,,,,,,,,,,,,
961,Robert Fico,Person,https://vi.wikipedia.org/wiki/Robert_Fico,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Comenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 (con trai),,,,,,,,,,,,,,,,,,,,Xem bảng; Dušan Čaplovič; Robert Kaliňák; Ján Mikolaj; Štefan Harabin; Viera Petríková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viera Petríková,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Sulík; Pavol Hrušovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Svetlana Svobodová,,,,,,,,,,,,,,,,,,,"15 tháng 9, 1964; (61 tuổi); Topoľčany; ,; Tiệp Khắc; (nay là; Slovakia; )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chính ông,,,,,Chức vụ được thiết lập,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Gašparovič,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Cộng sản Tiệp Khắc; (1986–1990); Đảng Cánh tả Slovakia; (1990–1999); Đảng Phương hướng; (1999–nay),,,,,,,,,,,,,,,,,
962,Robert Mundell,Person,https://vi.wikipedia.org/wiki/Robert_Mundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Kindleberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Giải Nobel Kinh tế; (1999); Huân chương; Canada; của Chính phủ; Canada; (; 2002; ); Giải thưởng Kinh tế học Toàn cầu của Viện Kinh tế Thế giới (tại; Kiel; ,; Đức; ) (; 2005; )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinh tế học tiền tệ,,,,,,,,,"4 tháng 4,; 2021; (88 tuổi); Siena; ,; Ý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Johns Hopkins; (1959–61, 1997–98, 2000–01); Đại học Chicago; (1965–72); Đại học Waterloo; (1972–74); Đại học McGill; (1989–1990); [; 1; ]; Columbia University; (1974 – nay); Chinese University of Hong Kong; (2009 – nay)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,"(; 1932-10-24; ); 24 tháng 10, 1932; Kingston, Ontario; , Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinh tế học trọng cung,Trường Kinh tế London; Trường kinh tế UBC Vancouver; Đại học Washington; Viện công nghệ Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mô hình Mundell–Fleming; Khu vực tiền tệ tối ưu; Nghiên cứu về; bản vị vàng,,,,,,,,,,,,,,,,,,,,,,Rudi Dornbusch; Jacob Frenkel; Michael Mussa; Carmen Reinhart,,
